Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Tue Aug 29 13:32:33 2023
| Host         : GF76 running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_high_fanout_nets -file /home/albertojor/GitHub/Chisel/Tesis/freedom/builds/e300artydevkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : E300ArtyDevKitFPGAChip
| Device       : xc7a100t
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Fanout Summary
-----------------

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                                      |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                                             | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| E300ArtyDevKitPlatform/ResetCatchAndSync_d20/AsyncResetSynchronizerShiftReg_w1_d20_i0/sync_0/reg_0/sys_reset                                                                         |   2039 | LUT1        |          11.355 |          13.456 |     0 |  0 |              0 |  2035 |  4 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| slow_clock_BUFG                                                                                                                                                                      |   1012 | BUFG        |             inf |           1.815 |     0 |  0 |              0 |     0 |  0 |              0 |     1 |  0 |              0 |  1011 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/debug_1/dmInner/dmactiveSync/AsyncResetSynchronizerShiftReg_w1_d3_i0/sync_0/reg_0/SR[0]                                                                   |    593 | LUT1        |          21.588 |           6.739 |     0 |  0 |              0 |   593 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/buffer/Queue_1/s3_slaveValid_reg                                                                                                                     |    537 | LUT6        |          20.204 |           2.074 |   256 |  0 |              0 |     0 |  0 |              0 |   281 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/core/q_reg[0]                                                                                                                                        |    256 | LUT5        |          18.814 |           2.836 |     0 |  0 |              0 |   256 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/frontend/icache/s2_tag_hit_0                                                                                                                         |    248 | FDRE        |          14.438 |           2.017 |     0 |  0 |              0 |     0 |  0 |              0 |   248 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/frontend/icache/s2_tag_hit_1                                                                                                                         |    248 | FDRE        |          14.119 |           1.779 |     0 |  0 |              0 |     0 |  0 |              0 |   248 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/debug_1/dmInner/dmiXing/AsyncQueueSink/deq_bits_reg/sync_0_reg[40]_0                                                                                      |    214 | FDRE        |          19.550 |           6.226 |     0 |  0 |              0 |     0 |  0 |              0 |   214 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/debug_1/dmInner/dmiXing/AsyncQueueSink/deq_bits_reg/sync_0_reg[39]_0                                                                                      |    213 | FDRE        |          20.652 |           4.357 |     0 |  0 |              0 |     0 |  0 |              0 |   213 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/plic/Queue/_T_1650                                                                                                                                        |    183 | LUT6        |          21.003 |           3.403 |     0 |  0 |              0 |     0 |  0 |              0 |   183 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_debug/fragmenter/Repeater/_T_344_reg[0]_0                                                                         |    179 | LUT6        |          17.205 |           3.836 |     0 |  0 |              0 |     0 |  0 |              0 |   179 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/frontend/fq/_T_60_0_reg_0                                                                                                                            |    175 | FDRE        |          13.834 |           1.500 |     0 |  0 |              0 |     0 |  0 |              0 |   175 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/out[21]_i_23_n_0                                                                      |    170 | LUT3        |          18.410 |           4.035 |     0 |  0 |              0 |     0 |  0 |              0 |   170 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/out[21]_i_22_n_0                                                                      |    169 | LUT3        |          19.044 |           3.561 |     0 |  0 |              0 |     0 |  0 |              0 |   169 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_debug/fragmenter/Repeater/full_reg_0                                                                              |    169 | FDRE        |          18.094 |           1.576 |     0 |  0 |              0 |     0 |  0 |              0 |   169 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/plic/Queue/threshold_0[2]_i_2_n_0                                                                                                                         |    159 | LUT4        |          15.468 |           2.078 |     0 |  0 |              0 |     0 |  0 |              0 |   159 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_debug/fragmenter/Repeater/full_reg_3                                                                              |    157 | LUT5        |          15.254 |           2.604 |     0 |  0 |              0 |     0 |  0 |              0 |   157 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/aon_1/aon/pmu/coreReset                                                                                                                                   |    154 | FDRE        |             inf |           2.496 |     0 |  0 |              0 |   149 |  0 |              0 |     5 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/frontend/s1_pc_reg[31]_0[10]                                                                                                                         |    153 | FDRE        |          13.325 |           3.630 |     0 |  0 |              0 |     0 |  0 |              0 |   153 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/frontend/s1_pc_reg[31]_0[9]                                                                                                                          |    150 | FDRE        |          13.900 |           4.178 |     0 |  0 |              0 |     0 |  0 |              0 |   150 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/pbus/coupler_to_device_named_gpio_0/fragmenter/Repeater/full_reg_2                                                                                        |    146 | LUT6        |          17.656 |           2.484 |     0 |  0 |              0 |     0 |  0 |              0 |   146 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/pbus/coupler_to_device_named_gpio_0/fragmenter/Repeater/saved_address_reg[3]_0                                                                            |    146 | LUT6        |          18.060 |           2.905 |     0 |  0 |              0 |     0 |  0 |              0 |   146 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_debug/fragmenter/Repeater/full_reg_1                                                                              |    143 | LUT2        |          16.557 |           1.893 |     0 |  0 |              0 |     0 |  0 |              0 |   143 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/sbus_auto_control_bus_coupler_to_slave_named_MaskROM_fragmenter_out_a_bits_address[9] |    142 | LUT3        |          19.199 |           2.916 |     0 |  0 |              0 |     0 |  0 |              0 |   142 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/out[22]_i_22_n_0                                                                      |    141 | LUT3        |          18.711 |           3.648 |     0 |  0 |              0 |     0 |  0 |              0 |   141 |  0 |              0 |     0 |  0 |              0 |
