Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Tue Aug 29 13:32:29 2023
| Host         : GF76 running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/albertojor/GitHub/Chisel/Tesis/freedom/builds/e300artydevkit/obj/report/utilization.txt
| Design       : E300ArtyDevKitFPGAChip
| Device       : xc7a100tcsg324-1
| Speed File   : -1
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------+---------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                       Instance                      |                    Module                   | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+-----------------------------------------------------+---------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| E300ArtyDevKitFPGAChip                              |                                       (top) |      15040 |      14394 |     586 |   60 | 9873 |      8 |      2 |          2 |
|   (E300ArtyDevKitFPGAChip)                          |                                       (top) |         10 |         10 |       0 |    0 |   39 |      0 |      0 |          0 |
|   E300ArtyDevKitPlatform                            |                      E300ArtyDevKitPlatform |      15017 |      14372 |     586 |   59 | 9808 |      8 |      2 |          2 |
|     ResetCatchAndSync_d20                           |                       ResetCatchAndSync_d20 |          5 |          5 |       0 |    0 |   20 |      0 |      0 |          0 |
|       AsyncResetSynchronizerShiftReg_w1_d20_i0      |    AsyncResetSynchronizerShiftReg_w1_d20_i0 |          5 |          5 |       0 |    0 |   20 |      0 |      0 |          0 |
|         sync_0                                      |                  AsyncResetRegVec_w1_i0_565 |          5 |          5 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_604 |          5 |          5 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_1                                      |                  AsyncResetRegVec_w1_i0_566 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_603 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_10                                     |                  AsyncResetRegVec_w1_i0_567 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_602 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_11                                     |                  AsyncResetRegVec_w1_i0_568 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_601 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_12                                     |                  AsyncResetRegVec_w1_i0_569 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_600 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_13                                     |                  AsyncResetRegVec_w1_i0_570 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_599 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_14                                     |                  AsyncResetRegVec_w1_i0_571 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_598 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_15                                     |                  AsyncResetRegVec_w1_i0_572 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_597 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_16                                     |                  AsyncResetRegVec_w1_i0_573 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_596 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_17                                     |                  AsyncResetRegVec_w1_i0_574 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_595 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_18                                     |                  AsyncResetRegVec_w1_i0_575 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_594 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_19                                     |                  AsyncResetRegVec_w1_i0_576 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_593 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_2                                      |                  AsyncResetRegVec_w1_i0_577 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_592 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_3                                      |                  AsyncResetRegVec_w1_i0_578 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_591 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_4                                      |                  AsyncResetRegVec_w1_i0_579 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_590 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_5                                      |                  AsyncResetRegVec_w1_i0_580 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_589 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_6                                      |                  AsyncResetRegVec_w1_i0_581 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_588 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_7                                      |                  AsyncResetRegVec_w1_i0_582 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_587 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_8                                      |                  AsyncResetRegVec_w1_i0_583 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_586 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         sync_9                                      |                  AsyncResetRegVec_w1_i0_584 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_585 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|     spi_dq_0_sync                                   |                  SynchronizerShiftReg_w1_d3 |          1 |          0 |       0 |    1 |    1 |      0 |      0 |          0 |
|     spi_dq_1_sync                                   |                SynchronizerShiftReg_w1_d3_0 |          1 |          0 |       0 |    1 |    1 |      0 |      0 |          0 |
|     spi_dq_2_sync                                   |                SynchronizerShiftReg_w1_d3_1 |          1 |          0 |       0 |    1 |    1 |      0 |      0 |          0 |
|     spi_dq_3_sync                                   |                SynchronizerShiftReg_w1_d3_2 |          1 |          0 |       0 |    1 |    1 |      0 |      0 |          0 |
|     sys                                             |                        E300ArtyDevKitSystem |      15009 |      14368 |     586 |   55 | 9784 |      8 |      2 |          2 |
|       (sys)                                         |                        E300ArtyDevKitSystem |        104 |        104 |       0 |    0 |    2 |      0 |      0 |          0 |
|       aon_1                                         |                              MockAONWrapper |        714 |        713 |       0 |    1 | 1012 |      0 |      0 |          0 |
|         ResetCatchAndSync_d3                        |                    ResetCatchAndSync_d3_491 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|           AsyncResetSynchronizerShiftReg_w1_d3_i0   | AsyncResetSynchronizerShiftReg_w1_d3_i0_558 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|             sync_0                                  |                  AsyncResetRegVec_w1_i0_559 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_564 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|             sync_1                                  |                  AsyncResetRegVec_w1_i0_560 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_563 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|             sync_2                                  |                  AsyncResetRegVec_w1_i0_561 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_562 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         aon                                         |                                   TLMockAON |        705 |        705 |       0 |    0 |  890 |      0 |      0 |          0 |
|           (aon)                                     |                                   TLMockAON |          1 |          1 |       0 |    0 |  512 |      0 |      0 |          0 |
|           Queue                                     |                                    Queue_13 |        505 |        505 |       0 |    0 |   55 |      0 |      0 |          0 |
|           pmu                                       |                                         PMU |         56 |         56 |       0 |    0 |  177 |      0 |      0 |          0 |
|             (pmu)                                   |                                         PMU |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|             AsyncResetRegVec_w5_i0                  |                      AsyncResetRegVec_w5_i0 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_3                                 |                           AsyncResetReg_557 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|             SRLatch_1                               |                                     SRLatch |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|             SRLatch_2                               |                                 SRLatch_556 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|             core                                    |                                     PMUCore |         55 |         55 |       0 |    0 |  172 |      0 |      0 |          0 |
|           rtc                                       |                                         RTC |         92 |         92 |       0 |    0 |   86 |      0 |      0 |          0 |
|             (rtc)                                   |                                         RTC |         85 |         85 |       0 |    0 |   85 |      0 |      0 |          0 |
|             AsyncResetRegVec_w1_i0                  |                  AsyncResetRegVec_w1_i0_554 |          7 |          7 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_555 |          7 |          7 |       0 |    0 |    1 |      0 |      0 |          0 |
|           wdog                                      |                               WatchdogTimer |         51 |         51 |       0 |    0 |   60 |      0 |      0 |          0 |
|             (wdog)                                  |                               WatchdogTimer |          0 |          0 |       0 |    0 |   55 |      0 |      0 |          0 |
|             AsyncResetRegVec_w1_i0                  |                  AsyncResetRegVec_w1_i0_544 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_553 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|             AsyncResetRegVec_w1_i0_1                |                  AsyncResetRegVec_w1_i0_545 |          4 |          4 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_552 |          4 |          4 |       0 |    0 |    1 |      0 |      0 |          0 |
|             AsyncResetRegVec_w1_i0_2                |                  AsyncResetRegVec_w1_i0_546 |          2 |          2 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_551 |          2 |          2 |       0 |    0 |    1 |      0 |      0 |          0 |
|             AsyncResetRegVec_w1_i0_3                |                  AsyncResetRegVec_w1_i0_547 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_550 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|             AsyncResetRegVec_w1_i0_4                |                  AsyncResetRegVec_w1_i0_548 |         44 |         44 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_549 |         44 |         44 |       0 |    0 |    1 |      0 |      0 |          0 |
|         aonrst_catch                                |                    ResetCatchAndSync_d3_492 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|           AsyncResetSynchronizerShiftReg_w1_d3_i0   | AsyncResetSynchronizerShiftReg_w1_d3_i0_537 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|             sync_0                                  |                  AsyncResetRegVec_w1_i0_538 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_543 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|             sync_1                                  |                  AsyncResetRegVec_w1_i0_539 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_542 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|             sync_2                                  |                  AsyncResetRegVec_w1_i0_540 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_541 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         crossing                                    |                       TLAsyncCrossingSink_1 |          5 |          5 |       0 |    0 |  114 |      0 |      0 |          0 |
|           AsyncQueueSink                            |                            AsyncQueueSink_4 |          2 |          2 |       0 |    0 |   61 |      0 |      0 |          0 |
|             deq_bits_reg                            |                 SynchronizerShiftReg_w80_d1 |          0 |          0 |       0 |    0 |   56 |      0 |      0 |          0 |
|             ridx_bin                                |                  AsyncResetRegVec_w1_i0_526 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_536 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|             valid_reg                               |                  AsyncResetRegVec_w1_i0_527 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|               reg_0                                 |                           AsyncResetReg_535 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|             widx_gray                               | AsyncResetSynchronizerShiftReg_w1_d3_i0_528 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|               sync_0                                |                  AsyncResetRegVec_w1_i0_529 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|                 reg_0                               |                           AsyncResetReg_534 |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
