Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Tue Aug 29 13:08:33 2023
| Host         : GF76 running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/albertojor/GitHub/Chisel/Tesis/freedom/builds/e300artydevkit/obj/report/utilization.txt
| Design       : E300ArtyDevKitFPGAChip
| Device       : xc7a100tcsg324-1
| Speed File   : -1
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------+---------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                       Instance                      |                    Module                   | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+-----------------------------------------------------+---------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| E300ArtyDevKitFPGAChip                              |                                       (top) |      18825 |      18093 |     672 |   60 | 12773 |     12 |      2 |          2 |
|   (E300ArtyDevKitFPGAChip)                          |                                       (top) |         10 |         10 |       0 |    0 |    41 |      0 |      0 |          0 |
|   E300ArtyDevKitPlatform                            |                      E300ArtyDevKitPlatform |      18801 |      18070 |     672 |   59 | 12706 |     12 |      2 |          2 |
|     ResetCatchAndSync_d20                           |                       ResetCatchAndSync_d20 |          6 |          6 |       0 |    0 |    21 |      0 |      0 |          0 |
|       AsyncResetSynchronizerShiftReg_w1_d20_i0      |    AsyncResetSynchronizerShiftReg_w1_d20_i0 |          6 |          6 |       0 |    0 |    21 |      0 |      0 |          0 |
|         sync_0                                      |                  AsyncResetRegVec_w1_i0_565 |          6 |          6 |       0 |    0 |     2 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_604 |          6 |          6 |       0 |    0 |     2 |      0 |      0 |          0 |
|         sync_1                                      |                  AsyncResetRegVec_w1_i0_566 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_603 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         sync_10                                     |                  AsyncResetRegVec_w1_i0_567 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_602 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         sync_11                                     |                  AsyncResetRegVec_w1_i0_568 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_601 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         sync_12                                     |                  AsyncResetRegVec_w1_i0_569 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_600 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         sync_13                                     |                  AsyncResetRegVec_w1_i0_570 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_599 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         sync_14                                     |                  AsyncResetRegVec_w1_i0_571 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           reg_0                                     |                           AsyncResetReg_598 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
